,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
,,SS,,,5/30/00,ELECTRIC FAILSAFE,,9878-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B6ECFWPH      ,
,,SS,,,8/24/99,HIGH-LOW SHUTOFF,,9746-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,CB SERIES DOUBLE ACTING,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,NONE,Y,N,1,,C   ,,B3IGNO6N      ,
,,SS,,,8/24/99,"LINEBREAK, HIGH-LOW PRESSURE SHUTOFF",,9747-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,CB SERIES DOUBLE ACTING,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,NONE,Y,N,1,,C   ,,B3IGNO7V      ,
,,SS,,,8/24/99,HIGH-LOW SHUTOFF & ELECTRIC REMOTE 2-WAY,,9748-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,,,CB SERIES DOUBLE ACTING,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,NONE,Y,N,1,,C   ,,B3IGNO97      ,
,,SS,,,8/24/99,HEAT SENSING,,9749-S,LER,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B3IGNOBX      ,
,,SS,,,7/31/97,HIGH OPEN & LOW CLOSE,,9293-S,LER,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,AVQRS41L      ,
,,SS,,,7/31/97,"HIGH-LOW, ELECTRIC REMOTE 2-WAY WITH FAILSAAFE",,9294-S,LER,,,N,,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,AVQRS421      ,
,,SS,,,8/1/97,ELECTRIC REMOTE 2-WAY,,9295-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,G-SERIES DOUBLE ACTING,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,1,,C   ,,AVR52UC7      ,
,,SS,,,8/4/97,ELECTRIC REMOTE 2-WAY & SINGLE WAY PNEUMATIC,,9296-S,LER,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,AVSABGN7      ,
,,SS,,,8/4/97,ELECTRIC REMOTE 2-WAY & SINGLE WAY PNEUMATIC,,9297-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,AVSABGOF      ,
,,SS,,,8/5/97,"ELECTRIC REMOTE 2-WAY, SINGLE WAY PNEU & HPSO",,9298-S,LER,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,,AVSM0Y07      ,
,,SS,,,8/5/97,STATION BY-PASS & ELECTRIC REMOTE 2-WAY,,9299-S,LER,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,TRIPS WITH SUC 50 PSI OVER DIS,AVSM0Y1P      ,
,,JK,,Columbia Gas,6/16/06,EMERGENCY SHUTDOWN,,10683-S,LER,,,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,BT56OL5R      ,
,,JK,Y,,6/16/06,ACCUMULATOR BANK,,10684-S,LY,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NONE,,N,0,,B   ,,BT550DOJ      ,
,,SS,,,9/29/99,STATION BY-PASS & ELECTRIC REMOTE 2-WAY,,9767-S,LER,,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,TRIPS WITH SUC 10 PSI OVER DIS,B3VPKZ89      ,
,,SS,,,8/26/99,ELECTRIC REMOTE 2-WAY,,9751-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,B   ,,B3J8MJ1F      ,
,,SS,,,8/27/99,ELECTRIC OR PNEUMATIC FAILSAFE,,9752-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,CB SERIES SPRING RETURN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NONE,Y,N,1,,B   ,,B3JK5GEN      ,
,,SS,,,8/27/99,HIGH-LOW SHUTOFF,,9753-S,LER,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,SEPERATOR TANK,B3JK5GIZ      ,
,,SS,,,8/31/99,ELECTRONIC LINEBREAK & ELECTRIC REMOTE 2-WAY,,9754-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B3L2OZUB      ,
,,SS,,,9/1/99,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,8414-SF,LER,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,FRENCH,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,,,C   ,,B3LE75VN      ,
,,SS,,,9/10/99,LINEBREAK & ELECTRIC REMOTE 2-WAY,,9755-S,LER,,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B3OOGZNB      ,
,,SS,,,9/13/99,ELECTRIC FAILSAFE,,9756-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,B   ,,B3PSRLKR      ,
,,SS,,,9/15/99,LOW PRESSURE SHUTOFF & ELECTRIC REMOTE 2-WAY,,9757-S,LER,,,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B3QINKFP      ,
,,SS,,,9/16/99,"LPSO, SINGLE WAY ELECTRIC & 2-WAY PNEUMATIC",,9758-S,LER,,,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,D   ,,B3QVZFA9      ,
,,SS,,,9/16/99,"LPSO, SINGLE WAY ELECTRIC & 2-WAY PNEUMATIC",,9759-S,LER,,,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B3QVZFB5      ,
,,SS,,,9/21/99,HIGH PRESSURE SHUTOFF & 2-WAY PNEUMATIC,,9760-S,LER,,,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B3SPXBW1      ,
,,SS,,,9/21/99,ELECTRIC REMOTE 2-WAY,,9761-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B3STWPA9      ,
,,SS,,,9/22/99,ELECTRIC REMOTE 2-WAY,,9762-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,SOLENOID IN POWER LINE,B3T2ZHV5      ,
,,SS,,,9/22/99,ELECTRIC REMOTE 2-WAY,,9763-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B3T2ZHVP      ,
,,SS,,,9/22/99,REGULATING,,9764-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,,G-SERIES DA W/PUMP CYL (HYD),N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PRESSURIZED,Y,N,0,,C   ,4 MA TO OPEN & 20 MA TO CLOSE,B3T2ZHXF      ,
,,SS,,,9/22/99,REGULATING,,9765-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,,GATE (LINEAR) SPRING RETURN,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PRESSURIZED,Y,N,4,,D   ,4 MA TO OPEN & 20 MA TO CLOSE,B3T2ZHXZ      ,
,,SS,,,9/23/99,LINEBREAK & ELECTRIC REMOTE 2-WAY,,9766-S,LER,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,,,CB SERIES DOUBLE ACTING,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,NONE,Y,N,1,,A   ,,B3TFUDXR      ,
